requirement_id,module,feature,requirement_text
REQ-LOGIN-001,Login,Valid login,The system shall allow a valid standard user to log in with username standard_user and password secret_sauce.
REQ-LOGIN-002,Login,Locked-out login rejection,The system shall reject locked_out_user and display an error message.
REQ-INVENTORY-001,Inventory,Inventory page display,The system shall display the product inventory page after successful login.
REQ-INVENTORY-002,Inventory,Product sorting,The system shall allow the user to sort products by name and price.
REQ-CART-001,Cart,Add product to cart,The system shall allow a logged-in user to add one or more products to the cart.
REQ-CART-002,Cart,Cart badge count,The cart badge shall reflect the number of selected products.
REQ-CART-003,Cart,Remove product from cart,The system shall allow the user to remove products from the cart.
REQ-CHECKOUT-001,Checkout,Checkout information validation,"The system shall require first name, last name, and postal code before continuing checkout."
REQ-CHECKOUT-002,Checkout,Checkout price calculation,"The checkout overview shall display item total, tax, and total price correctly."
REQ-CHECKOUT-003,Checkout,Order completion,The system shall complete the order after the user confirms checkout.
REQ-LOGOUT-001,Navigation,Logout,The system shall allow the user to log out and return to the login page.

